protocol,src_port,dst_port,packet_length,ttl,timestamp,src_ip,dst_ip,tcp_flags,window_size,flow_duration,flow_bytes_per_sec,flow_packets_per_sec,hour,minute,second,day_of_week,binary_prediction,multiclass_label
6,57515,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,255,0,1,56,36,6,False,Benign
6,57513,443,1,0,2184,0,2184,2184,2184,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,2184,251,0,1,56,36,6,False,Benign
6,443,57513,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,981,0,1,56,36,6,False,Benign
6,443,57513,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,979,0,1,56,36,6,False,Benign
6,443,57515,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1045,0,1,56,36,6,False,Benign
6,443,57513,1,0,122,0,122,122,122,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,122,979,0,1,56,36,6,False,Benign
6,443,57513,1,0,103,0,103,103,103,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,103,979,0,1,56,36,6,False,Benign
6,57513,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,251,0,1,56,36,6,False,Benign
6,50185,443,90,90,90,0,0,0,0,13,34,48,6,False,Benign
6,443,50185,86,86,86,0,0,0,0,13,34,48,6,False,Benign
6,50185,443,54,54,54,0,0,0,0,13,34,48,6,False,Benign
6,50175,443,105,105,105,0,0,0,0,13,34,58,6,False,Benign
6,443,50175,94,94,94,0,0,0,0,13,34,58,6,False,Benign
6,50175,443,54,54,54,0,0,0,0,13,34,58,6,False,Benign
6,443,50715,93,93,93,0,0,0,0,13,38,28,6,False,Benign
6,443,50715,60,60,60,0,0,0,0,13,38,28,6,False,Benign
6,50715,443,54,54,54,0,0,0,0,13,38,28,6,False,Benign
6,50718,443,54,54,54,0,0,0,0,13,38,28,6,False,Benign
6,50162,443,110,110,110,0,0,0,0,13,38,28,6,False,Benign
6,50162,443,213,213,213,0,0,0,0,13,38,28,6,False,Benign
6,50162,443,110,110,110,0,0,0,0,13,38,28,6,False,Benign
6,50162,443,213,213,213,0,0,0,0,13,38,28,6,False,Benign
6,443,50162,60,60,60,0,0,0,0,13,38,28,6,False,Benign
6,443,50162,60,60,60,0,0,0,0,13,38,28,6,False,Benign
6,443,50162,134,134,134,0,0,0,0,13,38,28,6,False,Benign
6,443,50162,553,553,553,0,0,0,0,13,38,28,6,False,Benign
6,50162,443,54,54,54,0,0,0,0,13,38,28,6,False,Benign
6,443,50162,110,110,110,0,0,0,0,13,38,28,6,False,Benign
6,443,50162,553,553,553,0,0,0,0,13,38,28,6,False,Benign
6,50162,443,54,54,54,0,0,0,0,13,38,28,6,False,Benign
